Comuna;robo_con_vio;robo_con_sor;robo_con_fuer;robo_vehi;robo_acce_vehi;robo_lugar_h;robo_lugar_nh;robos_con_fuer_otros;hurtos;lesiones;lesiones_lev;lesiones_gra;violacion;homicidio
Laja;92,34773118;25,18574487;759,7699702;4,197624145;104,9406036;352,6004282;281,2408177;16,79049658;474,3315284;251,8574487;197,2883348;54,56911388;0;0
Lampa;510,9933513;54,30847212;840,9584622;87,22269765;143,9997367;348,8907906;242,7424133;18,10282404;272,3652162;368,6393259;298,6965967;69,94272925;23,03995787;1,645711276
Lanco;74,18397626;11,41291942;393,7457202;17,11937914;39,94521799;176,9002511;148,3679525;11,41291942;576,352431;256,7906871;194,0196302;62,77105684;11,41291942;0
Las Cabras;53,02427754;26,51213877;700,6779533;49,23682915;22,72469038;318,1456653;302,9958717;7,574896792;356,0201492;268,9088361;189,3724198;79,53641632;22,72469038;7,574896792
Las Condes;185,5809767;128,6694772;1171,943868;105,1625535;654,4822445;191,7670093;150,3205911;70,21146952;885,5305605;134,5462081;110,4206811;24,12552697;9,897652091;0
Lautaro;74,30156529;34,6740638;601,8426788;12,38359421;59,44125223;188,2306321;321,9734496;19,81375074;406,1818902;208,0443828;163,4634436;44,58093917;14,86031306;4,953437686
Lebu;48,07336735;59,16722136;680,4230456;14,79180534;29,58361068;391,9828415;229,2729828;14,79180534;521,4111382;299,5340581;221,8770801;77,65697803;29,58361068;0
Licantén;28,68205937;14,34102969;516,2770687;14,34102969;57,36411874;186,4333859;258,1385343;0;516,2770687;243,7975047;229,456475;14,34102969;28,68205937;0
Limache;115,6538501;56,81241757;712,1842346;103,4797606;62,89946231;280,004058;225,2206554;40,58029827;422,035102;330,7294309;265,8009536;64,92847722;10,14507457;2,029014913
Linares;130,8992076;101,9215204;1050,191353;64,94998851;216,8330386;430,6683853;283,7814883;53,95845199;722,4437183;337,7399402;288,7776412;48,96229903;24,98076481;3,99692237
Litueche;14,93875112;14,93875112;687,1825515;14,93875112;14,93875112;313,7137735;328,6525246;14,93875112;283,8362713;104,5712578;104,5712578;0;14,93875112;0
Llaillay;182,9826167;68,61848124;670,9362611;30,49710278;129,6126868;270,6617871;228,7282708;11,43641354;388,8380604;468,8929552;358,3409576;110,5519976;3,812137847;3,812137847
Llanquihue;75,57354926;0;345,4790823;21,59244265;32,38866397;124,1565452;167,3414305;0;367,071525;280,7017544;210,5263158;70,1754386;10,79622132;0
Lo Barnechea;105,6692385;28,5139215;660,8520631;26,836632;344,6829923;188,6950688;82,18718551;18,4501845;394,1630325;169,4062395;135,8604495;33,54579;15,0956055;0
Lo Espejo;1023,706377;346,3813282;752,5833872;155,3409299;263,4041855;115,7820596;170,7785379;47,27767432;225,7750162;416,8154145;326,1194678;90,69594666;28,94551489;6,753953475
Lo Prado;754,5266751;222,0907566;714,7637013;148,3837806;192,026069;200,7545267;146,4441233;27,15520168;317,1339624;382,1124807;271,5520168;110,560464;16,48708673;3,879314525
Lolol;27,67400028;0;511,9690051;13,83700014;13,83700014;207,5550021;276,7400028;0;318,2510032;83,02200083;69,18500069;13,83700014;13,83700014;0
Loncoche;97,22897423;32,40965808;676,5516124;24,30724356;52,66569438;332,1989953;251,1748501;16,20482904;482,0936639;344,3526171;299,7893372;44,56327986;24,30724356;0
Longaví;21,52786321;3,075409029;436,7080822;21,52786321;46,13113544;190,6753598;172,2229056;6,150818059;353,6720384;325,9933571;292,1638578;33,82949932;30,75409029;3,075409029
Lonquimay;9,07935355;36,3174142;163,4283639;0;18,1587071;36,3174142;108,9522426;0;317,7773743;181,587071;108,9522426;72,6348284;18,1587071;0
Los Álamos;75,98104943;84,91999642;446,9473496;8,938946992;17,87789398;250,2905158;165,3705194;4,469473496;451,4168231;201,1263073;143,0231519;58,10315545;26,81684098;0
Los Andes;241,1849134;91,7390468;1075,714307;66,58479203;235,2662652;359,557877;334,4036222;79,90175044;732,4327124;359,557877;269,2984922;90,25938476;19,23560659;2,95932409
Los Ángeles;173,515771;181,360899;1034,172454;59,06919864;241,8145319;409,3310875;305,0370336;18,92060269;572,2328619;215,9717575;158,2869932;57,6847643;8,768084174;1,845912458
Los Lagos;73,21358844;24,40452948;522,2569309;19,52362358;102,4990238;195,2362358;180,5935182;24,40452948;561,3041781;209,8789535;180,5935182;29,28543538;29,28543538;0
Los Muermos;11,24479928;0;151,8047903;0;5,62239964;56,2239964;89,95839424;0;213,6511863;247,3855842;208,0287867;39,35679748;33,73439784;0
Los Sauces;93,13464609;26,60989888;904,736562;53,21979776;13,30494944;172,9643427;252,7940394;412,4534327;625,3326237;159,6593933;93,13464609;66,52474721;0;0
Los Vilos;139,0639259;39,11172917;1103,819912;52,14897223;121,6809352;534,5269654;304,202338;91,2607014;469,3407501;373,734301;265,0906088;108,6436921;13,03724306;4,345747686
Lota;248,9572187;124,4786093;891,0047826;34,94136402;80,8019043;417,112533;331,9429582;26,20602302;286,0824179;340,6782992;211,8320194;128,8462798;26,20602302;0
Lumaco;9,924573243;0;357,2846368;9,924573243;0;129,0194522;148,8685987;69,4720127;526,0023819;228,2651846;158,7931719;69,4720127;0;0
