TASA DE DENUNCIA POR DELITOS DE ROBOS CON VIOLENCIA O INTIMIDACIÓN;;;;;;;;;;;;;;;;;;
SEGÚN UNIDAD TERRITORIAL;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
ORDEN;UN_ADMIN;UNIDAD;Año;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
70;COMUNA;Quintero;;163,4;201,9;334,2;331,9;405,7;352,2;387,3;263,6;234,4;247,9;183,2;252,0;255,1;307,0;254,7
71;COMUNA;Valparaíso;;382,4;312,5;398,2;483,6;552,6;441,2;526,7;421,5;417,4;514,4;567,7;568,2;509,6;464,0;468,4
72;COMUNA;Viña del Mar;;331,9;319,6;346,6;300,3;369,9;375,1;396,2;320,6;277,1;328,9;347,4;322,4;305,8;273,9;261,5
73;PROVINCIA;Provincia de Isla de Pascua;;42,1;39,8;18,9;0,0;86,0;82,4;79,1;76,2;14,7;42,8;69,1;53,7;26,2;50,8;0,0
74;COMUNA;Isla de Pascua;;42,1;39,8;18,9;0,0;86,0;82,4;79,1;76,2;14,7;42,8;69,1;53,7;26,2;50,8;0,0
75;PROVINCIA;Provincia de Los Andes;;229,9;152,2;182,5;192,2;198,7;177,9;174,9;159,5;148,5;147,8;149,8;175,3;135,7;131,3;173,1
76;COMUNA;Calle Larga;;17,5;25,6;83,0;96,9;110,1;130,3;97,2;65,6;49,9;69,6;102,1;99,8;143,1;63,5;80,7
77;COMUNA;Los Andes;;351,6;216,4;250,2;253,7;258,6;202,6;217,0;209,6;210,2;201,6;199,0;247,9;171,2;177,4;241,2
78;COMUNA;Rinconada;;12,9;75,4;97,7;106,8;80,8;202,3;109,4;117,3;31,3;81,4;79,6;58,4;76,1;46,5;109,0
79;COMUNA;San Esteban;;6,4;31,2;36,7;72,0;100,1;109,8;113,5;72,4;65,7;53,8;52,9;46,9;40,9;75,4;54,3
80;PROVINCIA;Provincia de Petorca;;66,9;90,4;87,2;81,4;112,1;124,2;147,8;84,2;91,3;69,3;76,4;56,0;69,1;89,3;81,3
81;COMUNA;Cabildo;;80,9;95,9;85,7;50,3;65,3;150,3;124,9;129,5;104,4;29,8;39,6;49,3;54,1;78,3;73,0
82;COMUNA;La Ligua;;82,9;114,7;125,6;127,6;155,4;125,7;212,7;73,2;111,9;102,8;121,5;85,0;95,2;110,6;98,9
83;COMUNA;Papudo;;99,5;78,3;0,0;76,0;168,6;203,1;72,8;89,6;53,1;35,0;69,1;0,0;67,3;33,2;130,8
84;COMUNA;Petorca;;10,1;20,1;20,1;10,0;9,9;29,7;19,7;39,3;39,2;48,8;0,0;0,0;38,6;105,5;19,1
85;COMUNA;Zapallar;;0,0;63,1;61,9;45,6;134,4;117,5;129,9;71,0;55,9;68,8;67,8;53,4;26,3;38,8;63,6
86;PROVINCIA;Provincia de Quillota;;95,4;97,7;140,8;147,7;134,9;113,7;157,8;121,4;113,3;120,1;116,5;113,0;114,6;114,6;128,4
87;COMUNA;Hijuelas;;5,9;23,4;11,6;40,3;85,7;51,0;146,3;50,2;61,0;49,5;87,5;97,7;96,9;64,0;84,5
88;COMUNA;La Calera;;169,8;163,7;184,9;223,4;191,9;152,8;241,1;176,9;163,1;143,6;152,8;175,2;142,3;135,9;123,8
89;COMUNA;La Cruz;;33,1;50,9;6,1;35,4;28,4;54,7;58,1;20,4;44,3;71,5;55,4;76,1;56,4;79,8;77,3
90;COMUNA;Nogales;;13,4;8,9;35,6;26,6;53,2;44,2;92,6;57,1;70,2;105,0;61,1;82,6;86,6;90,4;85,6
91;COMUNA;Quillota;;101,4;105,1;194,7;178,3;154,1;133,8;149,4;142,0;121,5;135,7;129,8;97,1;123,7;127,3;163,0
92;PROVINCIA;Provincia de San Antonio;;301,1;354,4;288,8;362,1;327,4;310,8;343,2;310,2;281,4;296,4;297,3;238,2;240,8;256,0;265,7
93;COMUNA;Algarrobo;;157,0;123,1;146,5;310,3;197,6;233,5;210,8;197,3;192,4;180,4;330,6;143,8;239,1;185,7;235,5
94;COMUNA;Cartagena;;443,4;335,0;395,0;412,1;349,5;299,1;288,3;296,4;277,1;401,1;419,6;377,3;327,8;288,0;245,7
95;COMUNA;El Quisco;;194,2;287,5;162,4;265,6;233,6;225,7;253,8;225,6;186,2;213,8;189,6;216,0;217,1;276,8;264,9
96;COMUNA;El Tabo;;135,6;204,3;236,1;216,3;179,4;354,6;316,1;178,4;206,3;168,6;187,7;206,2;201,4;335,1;327,7
97;COMUNA;San Antonio;;344,4;439,4;332,2;413,0;401,7;359,6;424,7;378,2;346,4;341,6;322,7;248,5;250,1;262,8;291,8
98;COMUNA;Santo Domingo;;11,9;46,4;22,5;109,4;21,3;41,5;30,4;138,3;48,3;94,6;64,9;45,4;62,3;95,9;59,8
99;PROVINCIA;Provincia de San Felipe de Aconcagua;;273,3;193,6;203,4;219,1;160,7;170,4;217,7;183,0;197,3;231,3;181,7;196,1;198,8;180,2;165,1
100;COMUNA;Catemu;;93,2;69,2;30,4;173,1;133,9;198,7;131,0;50,4;106,9;77,6;27,9;110,5;47,8;114,6;79,9
101;COMUNA;Llaillay;;254,1;199,6;180,6;208,6;160,2;292,2;252,1;208,6;210,8;196,8;183,0;212,9;163,9;181,3;183,0
102;COMUNA;Panquehue;;43,9;116,6;58,0;0,0;71,7;71,2;56,6;42,1;69,8;13,9;123,7;40,9;108,2;53,5;145,6
103;COMUNA;Putaendo;;64,8;38,5;70,1;69,4;106,3;55,8;79,9;60,9;48,3;47,9;35,7;59,0;64,3;69,4;45,8
104;COMUNA;San Felipe;;429,8;292,7;320,3;314,9;204,5;174,6;293,6;261,9;279,9;357,0;262,9;269,9;301,4;249,0;224,8
105;COMUNA;Santa María;;36,5;14,5;35,7;70,6;69,8;96,6;88,6;67,3;66,6;98,8;97,7;96,6;63,6;69,1;49,5
106;PROVINCIA;Provincia de Marga Marga;;173,7;174,4;169,3;221,1;243,2;216,5;207,6;157,5;169,2;195,8;193,4;239,5;191,0;186,1;186,9
107;COMUNA;Limache;;128,6;162,6;156,1;142,9;148,1;90,1;164,7;123,2;113,2;163,7;98,0;99,1;106,3;88,4;115,7
108;COMUNA;Olmué;;45,6;25,7;50,7;106,1;55,3;42,4;41,8;29,4;40,5;74,2;106,9;38,8;87,4;75,2;89,7
109;COMUNA;Quilpué;;169,0;205,5;184,0;256,2;295,6;258,0;247,4;179,4;195,7;222,6;233,4;304,1;235,3;241,9;212,4
110;COMUNA;Villa Alemana;;216,3;160,1;172,6;223,0;239,8;237,0;197,1;161,0;175,3;191,6;191,4;240,0;182,4;169,3;195,3
111;REGION;Región Metropolitana de Santiago;;481,7;511,0;583,2;509,6;475,6;414,1;479,9;416,6;467,9;525,9;553,4;525,8;576,6;617,4;666,6
112;PROVINCIA;Provincia de Santiago;;525,0;562,1;641,7;553,9;520,0;442,9;515,3;449,1;510,3;568,2;603,7;568,8;627,8;674,5;740,8
113;COMUNA;Cerrillos;;929,9;754,6;845,7;681,1;660,0;555,2;707,0;581,7;543,0;626,5;664,3;680,8;597,5;763,4;1.118,0
114;COMUNA;Cerro Navia;;289,2;237,7;275,1;300,0;321,2;292,5;376,8;412,8;379,5;446,7;421,1;389,6;391,8;540,8;649,9
115;COMUNA;Conchalí;;546,6;600,2;541,0;572,8;453,5;417,8;428,9;448,9;546,4;622,4;521,1;501,9;653,6;738,7;985,0
116;COMUNA;El Bosque;;530,5;556,9;549,7;443,5;379,5;377,7;484,5;457,9;457,9;524,5;540,6;564,8;757,6;805,1;760,4
117;COMUNA;Estación Central;;986,8;919,7;1.168,0;1.054,3;962,4;847,9;808,6;773,9;849,1;1.013,6;972,8;814,0;829,7;914,7;1.073,3
118;COMUNA;Huechuraba;;394,2;444,7;470,0;418,3;356,6;346,5;441,5;375,7;569,0;524,3;566,8;477,6;524,2;534,2;654,0
119;COMUNA;Independencia;;461,8;544,9;646,5;470,8;471,5;469,9;487,9;471,7;496,1;566,3;689,7;567,2;655,4;741,8;759,5
120;COMUNA;La Cisterna;;873,7;858,2;1.069,2;859,6;812,4;670,1;708,1;688,2;791,2;848,7;1.106,8;1.104,1;1.037,1;1.153,2;1.076,0
121;COMUNA;La Florida;;720,9;740,6;745,9;604,5;588,6;467,1;508,5;445,9;493,4;512,8;620,4;600,6;628,3;618,1;634,9
122;COMUNA;La Granja;;756,1;842,4;952,1;728,1;644,9;508,5;658,4;542,6;591,2;677,9;619,6;695,6;838,2;1.005,8;1.025,7
123;COMUNA;La Pintana;;555,7;624,1;772,4;602,7;490,4;462,4;548,8;502,2;518,0;588,8;586,2;629,7;666,1;717,6;706,8
124;COMUNA;La Reina;;303,3;308,1;347,3;413,9;325,7;245,3;251,1;225,1;340,2;306,5;384,1;359,8;462,8;290,4;338,3
125;COMUNA;Las Condes;;200,6;223,8;228,8;251,9;226,0;237,4;233,3;173,8;196,3;226,4;304,8;290,5;246,0;177,4;185,6
126;COMUNA;Lo Barnechea;;225,9;222,5;240,9;209,6;192,8;144,1;196,9;172,4;178,3;277,7;400,1;234,8;188,6;125,1;105,7
127;COMUNA;Lo Espejo;;626,7;499,8;600,1;625,6;534,8;393,1;505,1;493,3;496,8;588,9;635,5;592,8;699,8;759,8;1.023,7
128;COMUNA;Lo Prado;;397,3;443,6;529,9;450,4;503,6;415,5;414,3;342,5;427,3;428,6;470,2;495,3;464,4;677,8;754,5
129;COMUNA;Macul;;369,9;463,5;474,4;519,9;462,1;310,4;389,9;317,0;400,1;422,2;477,5;518,1;517,7;540,2;592,5
130;COMUNA;Maipú;;299,2;366,0;438,5;448,7;399,0;338,0;438,5;357,9;392,5;455,9;484,9;387,3;414,7;479,1;562,9
131;COMUNA;Ñuñoa;;413,6;502,1;561,4;506,9;421,4;370,2;438,2;330,1;381,1;454,6;489,8;448,6;504,4;485,7;484,3
132;COMUNA;Pedro Aguirre Cerda;;500,9;484,0;650,4;529,5;464,9;401,5;413,6;371,6;386,7;448,9;454,2;412,0;498,8;631,3;638,0
133;COMUNA;Peñalolén;;396,7;388,9;376,3;406,5;365,1;261,0;325,8;271,0;317,1;330,9;331,6;301,2;341,5;306,2;403,0
134;COMUNA;Providencia;;740,5;802,0;840,5;699,9;738,6;648,5;872,2;688,9;897,4;902,7;1.024,5;953,1;987,6;796,5;807,4
135;COMUNA;Pudahuel;;297,9;320,9;386,8;440,1;450,5;363,8;487,7;408,5;476,8;551,9;617,0;504,9;504,2;689,5;889,5
136;COMUNA;Quilicura;;576,6;580,6;520,9;402,7;453,7;344,4;442,0;404,1;419,6;511,6;441,0;434,6;545,4;573,7;755,2
137;COMUNA;Quinta Normal;;342,8;321,8;486,4;555,0;641,7;450,5;742,2;623,4;727,0;818,5;810,9;794,5;915,6;1.160,6;1.245,0
138;COMUNA;Recoleta;;620,4;679,8;872,8;610,4;720,3;717,1;744,1;869,4;924,1;942,4;928,5;922,5;1.052,1;1.108,6;1.342,8
139;COMUNA;Renca;;406,6;597,2;675,9;398,2;357,3;346,7;506,6;380,3;523,0;527,0;523,6;495,8;514,1;709,6;872,0
140;COMUNA;San Joaquín;;640,2;704,1;917,2;639,1;650,9;554,5;434,1;387,6;435,6;489,7;491,1;519,9;605,8;725,9;704,7
141;COMUNA;San Miguel;;818,8;844,6;1.203,1;896,7;732,5;629,8;633,7;558,3;643,3;789,1;814,8;857,1;888,9;986,1;918,4
142;COMUNA;San Ramón;;487,5;486,6;733,1;606,7;586,4;462,2;511,6;353,0;450,4;517,1;597,1;616,4;640,8;704,6;673,8
143;COMUNA;Santiago;;1.155,9;1.321,6;1.455,4;1.151,0;1.073,4;916,0;977,5;772,0;914,7;988,4;1.007,4;964,9;1.141,3;1.164,0;1.107,8
144;COMUNA;Vitacura;;176,9;172,7;244,7;243,9;228,0;176,4;248,8;258,4;298,8;425,4;575,3;439,8;634,6;426,5;482,9
145;PROVINCIA;Provincia de Cordillera;;360,1;433,4;452,7;412,1;382,6;364,3;441,3;385,8;381,3;441,4;497,2;473,7;531,3;507,5;482,6
146;COMUNA;Pirque;;165,2;74,6;57,6;92,8;85,2;95,6;80,0;85,8;103,4;131,5;101,7;80,7;100,0;111,1;108,0
147;COMUNA;Puente Alto;;374,3;456,0;476,2;434,3;402,9;383,5;467,0;407,5;401,0;465,0;525,0;502,0;563,2;538,4;510,5
148;COMUNA;San José de Maipo;;97,7;95,8;147,7;59,3;77,6;69,9;62,5;67,6;109,1;89,6;147,1;110,2;119,7;83,8;125,9
149;PROVINCIA;Provincia de Chacabuco;;253,1;268,6;299,9;352,3;352,7;296,9;353,8;255,2;307,5;353,8;382,5;345,7;351,3;394,3;417,2
150;COMUNA;Colina;;301,4;303,1;385,2;424,2;402,2;336,9;387,7;287,8;334,3;373,2;435,3;396,5;371,9;370,6;366,2
151;COMUNA;Lampa;;208,7;256,7;213,0;296,0;332,7;288,4;340,8;243,6;314,4;337,6;334,9;297,2;352,0;446,7;511,0
152;COMUNA;Tiltil;;122,3;107,6;99,5;120,5;118,2;71,8;184,4;85,3;89,2;294,8;239,4;220,8;192,4;290,4;294,3
153;PROVINCIA;Provincia de Maipo;;488,0;429,5;514,2;457,5;395,8;397,5;446,7;393,7;461,7;559,9;514,2;552,6;566,5;661,2;664,5
154;COMUNA;Buin;;161,2;146,7;144,7;186,2;180,7;207,3;226,6;155,2;183,9;220,6;201,0;187,3;209,4;228,1;284,1
155;COMUNA;Calera de Tango;;369,8;317,7;462,4;442,2;418,6;504,1;488,9;379,6;291,3;476,2;377,7;278,9;322,0;274,6;340,3
156;COMUNA;Paine;;147,7;117,7;137,6;104,8;150,6;166,7;138,7;152,9;203,6;174,2;167,8;198,9;212,6;188,2;193,3
157;COMUNA;San Bernardo;;657,2;582,5;703,2;613,2;510,7;496,7;578,8;522,1;620,5;762,2;705,7;775,6;786,6;948,6;931,3
158;PROVINCIA;Provincia de Melipilla;;167,3;139,4;190,5;210,0;188,8;217,3;211,4;212,9;237,2;281,1;269,8;268,4;270,7;296,2;289,2
159;COMUNA;Alhué;;19,7;0,0;37,1;18,0;0,0;68,3;33,4;48,8;15,9;15,6;45,8;74,8;73,2;71,2;138,6
160;COMUNA;Curacaví;;125,3;82,8;165,4;151,4;144,8;158,4;93,8;98,4;131,0;199,3;171,9;136,4;136,9;194,2;215,6
161;COMUNA;María Pinto;;17,4;8,5;99,9;24,5;40,0;78,4;38,5;75,8;67,1;80,7;101,1;57,0;70,2;82,9;74,8
162;COMUNA;Melipilla;;214,0;184,0;226,0;268,0;235,5;270,7;283,0;277,8;306,8;355,4;342,7;349,3;352,0;367,1;350,9
163;COMUNA;San Pedro;;22,1;32,5;53,0;51,9;71,3;30,0;49,1;67,5;85,5;65,5;55,2;99,6;89,1;174,4;145,2
